epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1777.51,1.39489,2.93628,1.13652,0,0,0,0,0,117.607,0,0.000656085,0.000656085,0.000656085
2,2689.21,1.33929,1.94468,1.12631,0,0,0,0,0,105.182,0,0.00129656,0.00129656,0.00129656
